key,ticker,title,deadline,salary,score,description,more-info,draft-mode,key:employer,key:contractor
job-30,TICKER-30,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-31,TICKER-31,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,โลเร็ม อิปซัม,http://lorem.com/ipsum,TRUE,employer-01,company-01
job-32,TICKER-32,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,لوريم إيبسوم,http://lorem.com/ipsum,TRUE,employer-01,company-01
job-33,TICKER-33,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,洛伦·伊普森,http://lorem.com/ipsum,TRUE,employer-01,company-01
job-34,TICKER-34,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,<marquee>Hacked</marquee>,http://lorem.com/ipsum,TRUE,employer-01,company-01
job-35,TICKER-35,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,<script>alert(‘Hacked!’);</script>,http://lorem.com/ipsum,TRUE,employer-01,company-01
job-36,TICKER-36,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,' or 'A' = 'A,http://lorem.com/ipsum,TRUE,employer-01,company-01
# description - no singular values
# more-info - standard variations
job-37,TICKER-37,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",,TRUE,employer-01,company-01
job-38,TICKER-38,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-39,TICKER-39,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",https://a.org,TRUE,employer-01,company-01
job-40,TICKER-40,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://a.b,TRUE,employer-01,company-01
job-41,TICKER-41,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",TRUE,employer-01,company-01
job-42,TICKER-42,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",TRUE,employer-01,company-01
job-43,TICKER-43,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",https://www.lorem-ipsum.org,TRUE,employer-01,company-01
job-44,TICKER-44,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",https://www.lorem-ipsum.org,TRUE,employer-01,company-01
job-45,TICKER-45,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://www.lorem-ipsum.org/dolor/sit.html,TRUE,employer-01,company-01
job-46,TICKER-46,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://www.lorem-ipsum.org/dolor/sit.html#dolor,TRUE,employer-01,company-01
job-47,TICKER-47,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://example.org?a=1&b=2,TRUE,employer-01,company-01
job-48,TICKER-48,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://example.org?,TRUE,employer-01,company-01
job-49,TICKER-49,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://example.org?a,TRUE,employer-01,company-01
job-50,TICKER-50,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://example.org?a&b,TRUE,employer-01,company-01
job-51,TICKER-51,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://example.org/,TRUE,employer-01,company-01
job-52,TICKER-52,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://example.org/a,TRUE,employer-01,company-01
job-53,TICKER-53,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://example.org/a/b,TRUE,employer-01,company-01
job-54,TICKER-54,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://example.org/a/b?,TRUE,employer-01,company-01
job-55,TICKER-55,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://example.org/a/b?a&b,TRUE,employer-01,company-01
# more-info - no singular values
# draft-mode - standard variations
job-56,TICKER-56,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,FALSE,employer-01,company-01
# draft-mode - no singular values
#  employer - standard variations
job-57,TICKER-57,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-02,company-01
# employer - no singular values
# company - standard variations
job-58,TICKER-58,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-02
# company - no singular values
